1st Quarter 2022,,,,,,,,,,,,,,,
KENTUCKY ,U.S.,$ 0.2460,$ 0.2160,$ 0.2460,$ 0.2460,$ 0.2160,$ 0.2160,$ 0.2460,$ 0.2460,$ 0.2460,$ 0.2460,$ 0.2160,$ 0.2160,$ -,$ -
,Can,$ 0.0841,$ 0.0739,$ 0.0841,$ 0.0841,$ 0.0739,$ 0.0739,$ 0.0841,$ 0.0841,$ 0.0841,$ 0.0841,$ 0.0739,$ 0.0739,$ -,$ -
,,,,,,,,,,,,,,,
KENTUCKY SurChg ,U.S.,$ 0.0440,$ 0.1020,$ 0.0440,$ 0.0440,$ 0.1020,$ 0.1020,$ 0.0440,$ 0.0440,$ 0.0440,$ 0.0440,$ 0.1020,$ 0.1020,$ -,$ -
,Can,$ 0.0150,$ 0.0348,$ 0.0150,$ 0.0150,$ 0.0348,$ 0.0348,$ 0.0150,$ 0.0150,$ 0.0150,$ 0.0150,$ 0.0348,$ 0.0348,$ -,$ -
,,,,,,,,,,,,,,,
LOUISIANA #22,U.S.,$ 0.2000,$ 0.2000,$ 0.2000,$ 0.1460,$ 0.2000,$ 0.2000,$ 0.2000,$ 0.2000,$ 0.2000,$ 0.2000,$ 0.2000,$ 0.2000,$ -,$ -
,Can,$ 0.0683,$ 0.0683,$ 0.0683,$ 0.0500,$ 0.0683,$ 0.0683,$ 0.0683,$ 0.0683,$ 0.0683,$ 0.0683,$ 0.0683,$ 0.0683,$ -,$ -
,,,,,,,,,,,,,,,
MAINE #6,U.S.,$ -,$ 0.3120,$ -,$ 0.2190,$ 0.1780,$ 0.3078,$ 0.1980,$ 0.1470,$ -,$ -,$ -,$ 0.3120,$ -,$ -
,Can,$ -,$ 0.1066,$ -,$ 0.0749,$ 0.0608,$ 0.1052,$ 0.0677,$ 0.0502,$ -,$ -,$ -,$ 0.1066,$ -,$ -
,,Gasoline,Special,Gasohol,Propane,LNG,CNG,Ethanol,Methanol,E-85,M-85,A55,Biodiesel,Electricity,Hydrogen
,,,Diesel,,,,,,,,,,,,
MARYLAND #24,U.S.,$ 0.3610,$ 0.3685,$ 0.3610,$ 0.3610,$ 0.3610,$ 0.3610,$ 0.3610,$ 0.3610,$ 0.3610,$ -,$ -,$ 0.3685,$ -,$ -
,Can,$ 0.1235,$ 0.1261,$ 0.1235,$ 0.1235,$ 0.1235,$ 0.1235,$ 0.1235,$ 0.1235,$ 0.1235,$ -,$ -,$ 0.1261,$ -,$ -
,,,,,,,,,,,,,,,
MASSACHUSETTS ,U.S.,$ 0.2400,$ 0.2400,$ 0.2400,$ 0.2120,$ 0.2120,$ 0.2120,$ 0.2400,$ 0.2400,$ 0.2400,$ 0.2400,$ 0.2400,$ 0.2400,$ -,$ -
,Can,$ 0.0820,$ 0.0820,$ 0.0820,$ 0.0725,$ 0.0725,$ 0.0725,$ 0.0820,$ 0.0820,$ 0.0820,$ 0.0820,$ 0.0820,$ 0.0820,$ -,$ -
,,,,,,,,,,,,,,,
MICHIGAN ,U.S.,$ 0.4380,$ 0.4680,$ 0.4380,$ 0.4680,$ 0.4680,$ 0.4380,$ 0.4380,$ 0.4380,$ 0.4380,$ 0.4380,$ 0.4680,$ 0.4680,$ -,$ 0.4680
,Can,$ 0.1497,$ 0.1600,$ 0.1497,$ 0.1600,$ 0.1600,$ 0.1497,$ 0.1497,$ 0.1497,$ 0.1497,$ 0.1497,$ 0.1600,$ 0.1600,$ -,$ 0.1600
,,,,,,,,,,,,,,,
MINNESOTA #17,U.S.,$ 0.2850,$ 0.2850,$ 0.2850,$ 0.2135,$ 0.1710,$ 0.2850,$ 0.2850,$ 0.2850,$ 0.2025,$ -,$ 0.2850,$ 0.2850,$ -,$ -
,Can,$ 0.0975,$ 0.0975,$ 0.0975,$ 0.0730,$ 0.0585,$ 0.0975,$ 0.0975,$ 0.0975,$ 0.0692,$ -,$ 0.0975,$ 0.0975,$ -,$ -
,,,,,,,,,,,,,,,
MISSISSIPPI #2,U.S.,$ 0.1800,$ 0.1800,$ 0.1800,$ 0.1700,$ 0.1800,$ 0.2280,$ 0.1800,$ 0.1800,$ 0.1800,$ 0.1800,$ 0.1800,$ 0.1800,$ -,$ -
,Can,$ 0.0616,$ 0.0616,$ 0.0616,$ 0.0581,$ 0.0616,$ 0.0779,$ 0.0616,$ 0.0616,$ 0.0616,$ 0.0616,$ 0.0616,$ 0.0616,$ -,$ -
,,,,,,,,,,,,,,,
MISSOURI #3,U.S.,$ 0.1950,$ 0.1950,$ 0.1950,$ 0.1100,$ 0.1100,$ 0.1100,$ 0.1950,$ -,$ 0.1950,$ 0.1950,$ -,$ 0.1950,$ -,$ -
,Can,$ 0.0666,$ 0.0666,$ 0.0666,$ 0.0377,$ 0.0377,$ 0.0377,$ 0.0666,$ -,$ 0.0666,$ 0.0666,$ -,$ 0.0666,$ -,$ -
,,,,,,,,,,,,,,,
MONTANA #10,U.S.,$ -,$ 0.2955,$ -,$ 0.0518,$ -,$ 0.0700,$ -,$ -,$ -,$ -,$ -,$ 0.2955,$ -,$ -
,Can,$ -,$ 0.1011,$ -,$ 0.0177,$ -,$ 0.0239,$ -,$ -,$ -,$ -,$ -,$ 0.1011,$ -,$ -
,,,,,,,,,,,,,,,
NEBRASKA ,U.S.,$ 0.2480,$ 0.2480,$ 0.2480,$ 0.2480,$ 0.2480,$ 0.2480,$ 0.2480,$ 0.2480,$ 0.2480,$ 0.2480,$ 0.2480,$ 0.2480,$ -,$ -
,Can,$ 0.0848,$ 0.0848,$ 0.0848,$ 0.0848,$ 0.0848,$ 0.0848,$ 0.0848,$ 0.0848,$ 0.0848,$ 0.0848,$ 0.0848,$ 0.0848,$ -,$ -
,,,,,,,,,,,,,,,
NEVADA ,U.S.,$ 0.2300,$ 0.2700,$ 0.2300,$ 0.0640,$ 0.2700,$ 0.2100,$ 0.2300,$ 0.2300,$ 0.2300,$ -,$ 0.1900,$ 0.2700,$ -,$ -
,Can,$ 0.0787,$ 0.0923,$ 0.0787,$ 0.0219,$ 0.0923,$ 0.0718,$ 0.0787,$ 0.0787,$ 0.0787,$ -,$ 0.0650,$ 0.0923,$ -,$ -
,,,,,,,,,,,,,,,
NEW HAMPSHIRE ,U.S.,$ -,$ 0.2220,$ -,$ 0.2220,$ 0.2220,$ 0.2220,$ -,$ -,$ -,$ -,$ -,$ 0.2220,$ -,$ -
,Can,$ -,$ 0.0760,$ -,$ 0.0760,$ 0.0760,$ 0.0760,$ -,$ -,$ -,$ -,$ -,$ 0.0760,$ -,$ -
,,,,,,,,,,,,,,,
NEW JERSEY ,U.S.,$ 0.4240,$ 0.4940,$ 0.4240,$ 0.3715,$ -,$ -,$ 0.4240,$ 0.4240,$ 0.4240,$ 0.4240,$ 0.4240,$ 0.4940,$ -,$ -
,Can,$ 0.1449,$ 0.1689,$ 0.1449,$ 0.1271,$ -,$ -,$ 0.1449,$ 0.1449,$ 0.1449,$ 0.1449,$ 0.1449,$ 0.1689,$ -,$ -
,,,,,,,,,,,,,,,
NEW MEXICO ,U.S.,$ -,$ 0.2100,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -
,Can,$ -,$ 0.0718,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -
,,,,,,,,,,,,,,,
NEW YORK #12,U.S.,$ 0.4130,$ 0.3955,$ 0.4130,$ 0.2400,$ -,$ -,$ 0.4130,$ 0.4130,$ -,$ 0.4130,$ 0.4130,$ -,$ -,$ -
,Can,$ 0.1412,$ 0.1352,$ 0.1412,$ 0.0820,$ -,$ -,$ 0.1412,$ 0.1412,$ -,$ 0.1412,$ 0.1412,$ -,$ -,$ -
,,,,,,,,,,,,,,,
NORTH CAROLINA #25,U.S.,$ 0.3850,$ 0.3850,$ 0.3850,$ 0.3850,$ 0.3850,$ 0.3850,$ 0.3850,$ 0.3850,$ 0.3850,$ 0.3850,$ 0.3850,$ 0.3850,$ -,$ 0.3850
,Can,$ 0.1316,$ 0.1316,$ 0.1316,$ 0.1316,$ 0.1316,$ 0.1316,$ 0.1316,$ 0.1316,$ 0.1316,$ 0.1316,$ 0.1316,$ 0.1316,$ -,$ 0.1316
,,,,,,,,,,,,,,,
NORTH DAKOTA ,U.S.,$ 0.2300,$ 0.2300,$ 0.2300,$ 0.2300,$ -,$ 0.2300,$ -,$ -,$ -,$ -,$ -,$ 0.2300,$ -,$ -
,Can,$ 0.0787,$ 0.0787,$ 0.0787,$ 0.0787,$ -,$ 0.0787,$ -,$ -,$ -,$ -,$ -,$ 0.0787,$ -,$ -
,,Gasoline,Special,Gasohol,Propane,LNG,CNG,Ethanol,Methanol,E-85,M-85,A55,Biodiesel,Electricity,Hydrogen
,,,Diesel,,,,,,,,,,,,
OHIO #29,U.S.,$ 0.3850,$ 0.4700,$ 0.3850,$ 0.4700,$ 0.4700,$ 0.3000,$ 0.3850,$ 0.3850,$ 0.3850,$ 0.3850,$ 0.4700,$ 0.4700,$ -,$ -
,Can,$ 0.1316,$ 0.1607,$ 0.1316,$ 0.1607,$ 0.1607,$ 0.1026,$ 0.1316,$ 0.1316,$ 0.1316,$ 0.1316,$ 0.1607,$ 0.1607,$ -,$ -
,,,,,,,,,,,,,,,
OKLAHOMA ,U.S.,$ 0.1900,$ 0.1900,$ 0.1900,$ 0.1600,$ 0.0500,$ 0.0500,$ 0.1900,$ 0.1900,$ 0.1900,$ 0.1900,$ 0.1900,$ 0.1900,$ -,$ -
,Can,$ 0.0650,$ 0.0650,$ 0.0650,$ 0.0547,$ 0.0171,$ 0.0171,$ 0.0650,$ 0.0650,$ 0.0650,$ 0.0650,$ 0.0650,$ 0.0650,$ -,$ -
,,,,,,,,,,,,,,,
OREGON ,U.S.,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -
,Can,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -
,,,,,,,,,,,,,,,
PENNSYLVANIA #4,U.S.,$ 0.5760,$ 0.7410,$ 0.5760,$ 0.4250,$ 0.6480,$ 0.5760,$ 0.3840,$ 0.2890,$ 0.4130,$ 0.3320,$ 0.7410,$ 0.7410,$ 0.0172,$ 0.5760
,Can,$ 0.1970,$ 0.2534,$ 0.1970,$ 0.1453,$ 0.2216,$ 0.1970,$ 0.1314,$ 0.0989,$ 0.1412,$ 0.1135,$ 0.2534,$ 0.2534,$ 0.0058,$ 0.1970
,,,,,,,,,,,,,,,
RHODE ISLAND ,U.S.,$ 0.3400,$ 0.3400,$ 0.3400,$ 0.3400,$ 0.3400,$ -,$ 0.3400,$ 0.3400,$ 0.3400,$ 0.3400,$ 0.3400,$ 0.3400,$ -,$ -
,Can,$ 0.1162,$ 0.1162,$ 0.1162,$ 0.1162,$ 0.1162,$ -,$ 0.1162,$ 0.1162,$ 0.1162,$ 0.1162,$ 0.1162,$ 0.1162,$ -,$ -
,,,,,,,,,,,,,,,
SOUTH CAROLINA #23,U.S.,$ 0.2600,$ 0.2600,$ 0.2600,$ 0.2600,$ 0.2600,$ 0.2600,$ 0.2600,$ 0.2600,$ -,$ -,$ -,$ -,$ -,$ -
,Can,$ 0.0889,$ 0.0889,$ 0.0889,$ 0.0889,$ 0.0889,$ 0.0889,$ 0.0889,$ 0.0889,$ -,$ -,$ -,$ -,$ -,$ -
,,,,,,,,,,,,,,,
SOUTH DAKOTA ,U.S.,$ -,$ 0.2800,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ 0.2800,$ -,$ -
,Can,$ -,$ 0.0958,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ 0.0958,$ -,$ -
,,,,,,,,,,,,,,,
TENNESSEE #9,U.S.,$ 0.2600,$ 0.2700,$ 0.2600,$ 0.2200,$ 0.2100,$ 0.2100,$ 0.2600,$ 0.2600,$ 0.2600,$ 0.2600,$ 0.2600,$ 0.2700,$ -,$ -
,Can,$ 0.0889,$ 0.0923,$ 0.0889,$ 0.0752,$ 0.0718,$ 0.0718,$ 0.0889,$ 0.0889,$ 0.0889,$ 0.0889,$ 0.0889,$ 0.0923,$ -,$ -
,,,,,,,,,,,,,,,
TEXAS #13,U.S.,$ 0.2000,$ 0.2000,$ 0.2000,$ -,$ 0.1500,$ 0.1500,$ 0.2000,$ 0.2000,$ 0.2000,$ 0.2000,$ 0.2000,$ 0.2000,$ -,$ -
,Can,$ 0.0683,$ 0.0683,$ 0.0683,$ -,$ 0.0512,$ 0.0512,$ 0.0683,$ 0.0683,$ 0.0683,$ 0.0683,$ 0.0683,$ 0.0683,$ -,$ -
,,,,,,,,,,,,,,,
UTAH #21,U.S.,$ 0.3190,$ 0.3190,$ 0.3190,$ -,$ 0.1750,$ 0.1750,$ 0.3190,$ 0.3190,$ 0.3190,$ 0.3190,$ 0.3190,$ 0.3190,$ -,$ 0.1750
,Can,$ 0.1091,$ 0.1091,$ 0.1091,$ -,$ 0.0598,$ 0.0598,$ 0.1091,$ 0.1091,$ 0.1091,$ 0.1091,$ 0.1091,$ 0.1091,$ -,$ 0.0598
,,,,,,,,,,,,,,,
VERMONT ,U.S.,$ -,$ 0.3100,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -
,Can,$ -,$ 0.1060,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -,$ -
,,,,,,,,,,,,,,,
VIRGINIA #20,U.S.,$ 0.2620,$ 0.2700,$ 0.2620,$ 0.2620,$ 0.2950,$ 0.2620,$ 0.2620,$ 0.2620,$ 0.2620,$ 0.2620,$ 0.2620,$ 0.2700,$ -,$ -
,Can,$ 0.0896,$ 0.0923,$ 0.0896,$ 0.0896,$ 0.1008,$ 0.0896,$ 0.0896,$ 0.0896,$ 0.0896,$ 0.0896,$ 0.0896,$ 0.0923,$ -,$ -
,,,,,,,,,,,,,,,
VIRGINIA SurChg #20,U.S.,$ 0.1470,$ 0.1390,$ 0.1470,$ 0.1470,$ 0.1660,$ 0.1470,$ 0.1470,$ 0.1470,$ 0.1470,$ 0.1470,$ 0.1470,$ 0.1390,$ -,$ -
,Can,$ 0.0502,$ 0.0475,$ 0.0502,$ 0.0502,$ 0.0568,$ 0.0502,$ 0.0502,$ 0.0502,$ 0.0502,$ 0.0502,$ 0.0502,$ 0.0475,$ -,$ -
,,,,,,,,,,,,,,,
WASHINGTON #11,U.S.,$ 0.4940,$ 0.4940,$ 0.4940,$ -,$ -,$ -,$ 0.4940,$ 0.4940,$ 0.4940,$ 0.4940,$ 0.4940,$ 0.4940,$ -,$ -
,Can,$ 0.1689,$ 0.1689,$ 0.1689,$ -,$ -,$ -,$ 0.1689,$ 0.1689,$ 0.1689,$ 0.1689,$ 0.1689,$ 0.1689,$ -,$ -
,,,,,,,,,,,,,,,
WEST VIRGINIA ,U.S.,$ 0.3570,$ 0.3570,$ 0.3570,$ 0.2220,$ 0.1600,$ 0.2490,$ 0.3570,$ 0.3570,$ 0.3570,$ 0.3570,$ 0.3570,$ 0.3570,$ -,$ -
,Can,$ 0.1220,$ 0.1220,$ 0.1220,$ 0.0760,$ 0.0547,$ 0.0852,$ 0.1220,$ 0.1220,$ 0.1220,$ 0.1220,$ 0.1220,$ 0.1220,$ -,$ -
,,Gasoline,Special,Gasohol,Propane,LNG,CNG,Ethanol,Methanol,E-85,M-85,A55,Biodiesel,Electricity,Hydrogen
,,,Diesel,,,,,,,,,,,,
WISCONSIN ,U.S.,$ 0.3290,$ 0.3290,$ 0.3290,$ 0.2260,$ 0.1970,$ 0.2470,$ 0.3290,$ 0.3290,$ 0.3290,$ 0.3290,$ 0.3290,$ 0.3290,$ -,$ -
,Can,$ 0.1125,$ 0.1125,$ 0.1125,$ 0.0773,$ 0.0673,$ 0.0845,$ 0.1125,$ 0.1125,$ 0.1125,$ 0.1125,$ 0.1125,$ 0.1125,$ -,$ -
,,,,,,,,,,,,,,,
